DATE,SIPOVGINIUSA
1979-01-01,34.6
1980-01-01,.
1981-01-01,.
1982-01-01,.
1983-01-01,.
1984-01-01,.
1985-01-01,.
1986-01-01,37.5
1987-01-01,.
1988-01-01,.
1989-01-01,.
1990-01-01,.
1991-01-01,38.2
1992-01-01,.
1993-01-01,.
1994-01-01,40.2
1995-01-01,.
1996-01-01,.
1997-01-01,40.8
1998-01-01,.
1999-01-01,.
2000-01-01,40.4
2001-01-01,.
2002-01-01,.
2003-01-01,.
2004-01-01,40.5
2005-01-01,.
2006-01-01,.
2007-01-01,41.1
2008-01-01,.
2009-01-01,.
2010-01-01,40.4
2011-01-01,.
2012-01-01,.
2013-01-01,41
2014-01-01,.
2015-01-01,.
2016-01-01,41.5
