Date 	Value
Apr 1, 2018 	327.45 million
Jul 1, 2017 	325.72 million
Jul 1, 2016 	323.41 million
Jul 1, 2015 	321.04 million
Jul 1, 2014 	318.62 million
Jul 1, 2013 	316.23 million
Jul 1, 2012 	313.99 million
Jul 1, 2011 	311.64 million
Jul 1, 2010 	309.34 million
Jul 1, 2009 	306.77 million
Jul 1, 2008 	304.09 million
Jul 1, 2007 	301.23 million
Jul 1, 2006 	298.38 million
Jul 1, 2005 	295.52 million
Jul 1, 2004 	292.81 million
Jul 1, 2003 	290.11 million
Jul 1, 2002 	287.63 million
Jul 1, 2001 	284.97 million
Jul 1, 2000 	282.16 million
Jul 1, 1999 	279.04 million
Jul 1, 1998 	275.85 million
Jul 1, 1997 	272.65 million
Jul 1, 1996 	269.39 million
Jul 1, 1995 	266.28 million
Jul 1, 1994 	263.13 million
Jul 1, 1993 	259.92 million
Jul 1, 1992 	256.51 million
Jul 1, 1991 	252.98 million
Jul 1, 1990 	249.62 million
Jul 1, 1989 	246.82 million
Jul 1, 1988 	244.50 million
Jul 1, 1987 	242.29 million
Jul 1, 1986 	240.13 million
Jul 1, 1985 	237.92 million
Jul 1, 1984 	235.82 million
Jul 1, 1983 	233.79 million
Jul 1, 1982 	231.66 million
Jul 1, 1981 	229.47 million
Jul 1, 1980 	227.22 million
Jul 1, 1979 	225.06 million
Jul 1, 1978 	222.58 million
Jul 1, 1977 	220.24 million
Jul 1, 1976 	218.04 million
